2023-07-18 12:13:34 [@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-20 09:20:34 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:20:35 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:24:25 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:24:26 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:24:26 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:26:34 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:26:35 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 09:27:06 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-20 14:14:35 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-20 14:24:25 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-20 14:25:43 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-20 14:25:44 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-21 14:23:34 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/getDropdownValue.php2023-07-21 14:23:35 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/getDropdownValue.php2023-07-21 16:55:58 [@GS003021]
User ID:  tried to access or perform an action on /glpi108/front/user.form.php?id=124 with insufficient rights. Additional information: Missing READ right. Cannot view the item.
	Stack Trace:
		C:\wamp64\www\glpi108\src\CommonDBTM.php:6373 displayRightError()
		C:\wamp64\www\glpi108\src\CommonDBTM.php:6466 displayAccessDeniedPage()
		C:\wamp64\www\glpi108\front\user.form.php:241 displayFullPageForItem()
2023-07-22 00:42:52 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/getDropdownNumber.php2023-07-24 08:21:27 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:52:39 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:56:04 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:56:07 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:56:08 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:56:10 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:58:49 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 09:58:50 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:23:24 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:23:25 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:23:29 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:34:10 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:34:12 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:34:13 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:37:43 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:54:04 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:54:04 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:54:05 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 10:54:05 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 11:00:42 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 11:27:25 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:21 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:26 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:27 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:27 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:35 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:45 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:46 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:49 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:19:50 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:20:02 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:20:04 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:20:10 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:25:07 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-25 12:25:26 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 12:25:30 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:25:30 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:25:30 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:25:30 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:20 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 12:26:24 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:24 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:24 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:24 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:35 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-25 12:26:37 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:38 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:38 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:38 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-25 12:26:44 [2@GS003021]
